Meranie	Farba	Priemer	Std. odchylka
Pozdĺžna Ľavá
	Žíhaná	7.248068	1.147110
	Žíhaná	5.893552	0.332311
	Čierna, Biela	5.873086	0.769412
	Hnedá, Biela	7.242958	0.000000
	Čierna, Biela	5.738095	0.000000
	Trikolor	6.987243	1.149058
	Čierna, Biela	7.175320	0.192970
Priečna Ľavá
	Žíhaná	3.940138	0.314417
	Žíhaná	3.568188	0.458451
	Čierna, Biela	3.674723	0.738988
	Hnedá, Biela	4.109155	0.000000
	Čierna, Biela	3.391156	0.000000
	Trikolor	4.286431	0.899111
	Čierna, Biela	4.588335	0.672120
Kôra
	Žíhaná	0.733345	0.112671
	Žíhaná	0.636746	0.111490
	Čierna, Biela	0.628342	0.110781
	Hnedá, Biela	0.658451	0.000000
	Čierna, Biela	0.540816	0.000000
	Trikolor	0.595178	0.165927
	Čierna, Biela	0.784907	0.099302
Aorta
	Žíhaná	1.000000	0.000000
	Žíhaná	1.000000	0.000000
	Čierna, Biela	1.000000	0.000000
	Hnedá, Biela	1.000000	0.000000
	Čierna, Biela	1.000000	0.000000
	Trikolor	1.000000	0.000000
	Čierna, Biela	1.000000	0.000000
Stavec
	Žíhaná	3.293368	0.241794
	Žíhaná	2.976082	0.463432
	Čierna, Biela	2.588179	0.631727
	Hnedá, Biela	3.507042	0.000000
	Čierna, Biela	2.945578	0.000000
	Trikolor	3.062451	0.357170
	Čierna, Biela	3.000841	0.578488
Pozdĺžna Pravá
	Žíhaná	7.427141	1.556434
	Žíhaná	5.918977	0.495308
	Čierna, Biela	6.247697	0.834358
	Hnedá, Biela	7.250000	0.000000
	Čierna, Biela	5.727891	0.000000
	Trikolor	7.335559	1.456107
	Čierna, Biela	8.047475	1.401397
Priečna Pravá
	Žíhaná	5.147418	1.367098
	Žíhaná	3.754632	0.310160
	Čierna, Biela	3.695320	0.729680
	Hnedá, Biela	3.929577	0.000000
	Čierna, Biela	2.976190	0.000000
	Trikolor	3.999762	0.650215
	Čierna, Biela	4.599271	0.627620
