Meranie	Rasa	Priemer	Std. odchylka
Pozdĺžna Ľavá
	BT	6.490000	0.450584
	SBT	5.846667	0.264626
	AST	6.327500	0.359725
Priečna Ľavá
	BT	3.765833	0.354841
	SBT	3.441667	0.165096
	AST	3.726667	0.455339
Kôra
	BT	0.628750	0.116705
	SBT	0.603333	0.085946
	AST	0.611667	0.067801
Aorta
	BT	0.935417	0.091127
	SBT	0.995000	0.020736
	AST	1.044167	0.112206
Stavec
	BT	2.958333	0.241024
	SBT	2.788333	0.132577
	AST	2.884167	0.391070
Pozdĺžna Pravá
	BT	6.505000	0.689152
	SBT	5.853333	0.264550
	AST	6.751667	0.269405
Priečna Pravá
	BT	4.155000	0.995503
	SBT	3.208333	0.320837
	AST	3.930000	0.388400
