Meranie	Rasa	Priemer	Std. odchylka
Pozdĺžna Ľavá
	BT	7.039796	0.868169
	SBT	5.828456	0.224108
	AST	6.139776	0.963497
Priečna Ľavá
	BT	4.170285	0.618395
	SBT	3.652037	0.247152
	AST	3.628223	0.783862
Kôra
	BT	0.682520	0.137378
	SBT	0.666845	0.088813
	AST	0.594149	0.107596
Aorta
	BT	1.000000	0.000000
	SBT	1.000000	0.000000
	AST	1.000000	0.000000
Stavec
	BT	3.113502	0.328431
	SBT	2.971241	0.466290
	AST	2.821034	0.689838
Pozdĺžna Pravá
	BT	7.285242	1.444562
	SBT	6.016101	0.212329
	AST	6.537090	0.820439
Priečna Pravá
	BT	4.517329	0.951113
	SBT	3.438980	0.411121
	AST	3.809616	0.581564
