Meranie	Rasa	Priemer	Std. odchylka
Pozdĺžna Ľavá
	BT	2.268561	0.243656
	SBT	1.990640	0.258268
	AST	2.221825	0.270179
Priečna Ľavá
	BT	1.352923	0.257801
	SBT	1.250341	0.205809
	AST	1.309420	0.222151
Kôra
	BT	0.218559	0.034128
	SBT	0.228135	0.045395
	AST	0.215345	0.035217
Aorta
	BT	0.324439	0.034893
	SBT	0.342237	0.048369
	AST	0.373411	0.104579
Stavec
	BT	1.000000	0.000000
	SBT	1.000000	0.000000
	AST	1.000000	0.000000
Pozdĺžna Pravá
	BT	2.354722	0.509020
	SBT	2.055970	0.278133
	AST	2.379439	0.351632
Priečna Pravá
	BT	1.458246	0.311173
	SBT	1.167634	0.139487
	AST	1.383819	0.204159
